"","price","year","mileage","fuel","region","engine"
"102",47500,8,230000,"Benzyna","(Wielkopolskie)",1798
"103",21500,15,189000,"Diesel","(Œl¹skie)",1968
"104",75030,5,174500,"Benzyna","(Mazowieckie)",1984
"105",100900,5,161200,"Diesel","(Ma³opolskie)",1968
"106",146000,0,10,"Benzyna","(Kujawsko-pomorskie)",1984
"107",89500,4,183000,"Diesel","(Lubuskie)",1968
"108",33900,13,245123,"Diesel","(Dolnoœl¹skie)",1968
"109",35900,13,243000,"Diesel","(Œwiêtokrzyskie)",1968
"110",42000,12,126693,"Diesel","(Mazowieckie)",1968
"111",29900,11,214000,"Diesel","(Kujawsko-pomorskie)",2698
"112",105000,5,91976,"Benzyna","(Mazowieckie)",1984
"113",32500,13,157209,"Diesel","(Mazowieckie)",1968
"114",13600,16,35000,"Benzyna+LPG","(Dolnoœl¹skie)",1984
"115",9999,16,314778,"Diesel","(Wielkopolskie)",1968
"116",45002,9,191235,"Diesel","(Dolnoœl¹skie)",1968
"117",86900,4,169000,"Diesel","(Œl¹skie)",1968
"118",74800,4,188256,"Diesel","(Dolnoœl¹skie)",1968
"119",156900,2,76000,"Diesel","(Ma³opolskie)",1968
"120",70800,4,181430,"Diesel","(Dolnoœl¹skie)",1968
"121",9900,19,318444,"Diesel","(Kujawsko-pomorskie)",1896
"122",28900,11,233000,"Diesel","(Œl¹skie)",1968
"123",64800,4,151365,"Diesel","(Dolnoœl¹skie)",1968
"124",34900,12,231000,"Diesel","(Mazowieckie)",1968
"125",23900,14,187000,"Benzyna","(Podkarpackie)",1984
"126",107900,4,83000,"Diesel","(Pomorskie)",1968
"127",23800,17,222410,"Benzyna","(Mazowieckie)",1781
"128",24800,15,242277,"Benzyna","(Mazowieckie)",1781
"129",26500,11,221000,"Diesel","(Dolnoœl¹skie)",1968
"130",14700,17,147800,"Benzyna","(Œwiêtokrzyskie)",1984
"131",32900,10,247584,"Diesel","(Pomorskie)",1968
"132",24700,15,320000,"Benzyna","(Mazowieckie)",2000
"133",40900,11,262000,"Diesel","(Œwiêtokrzyskie)",1968
"134",48000,9,280000,"Diesel","(Œl¹skie)",1968
"135",31900,12,185000,"Diesel","(Pomorskie)",1968
"136",47900,9,176900,"Diesel","(Œl¹skie)",1968
"137",47999,8,210000,"Diesel","(Ma³opolskie)",1968
"138",59990,2,9300,"Benzyna","(Lubuskie)",1984
"139",57902,7,179348,"Diesel","(Œl¹skie)",1968
"140",31900,13,270000,"Diesel","(Mazowieckie)",1968
"141",14900,18,386652,"Benzyna+LPG","(Podlaskie)",1781
"142",34000,13,194000,"Diesel","(Mazowieckie)",1968
"143",11900,21,241000,"Diesel","(Podkarpackie)",1896
"144",34600,13,274200,"Diesel","(Ma³opolskie)",2000
"145",96900,4,84000,"Diesel","(Mazowieckie)",1968
"146",19900,16,223000,"Benzyna","(Wielkopolskie)",1984
"147",83025,4,185000,"Diesel","(Dolnoœl¹skie)",1968
"148",8999,19,270000,"Diesel","(Kujawsko-pomorskie)",2496
"149",44900,9,200825,"Diesel","(Wielkopolskie)",1968
"150",59306,7,123500,"Diesel","(Ma³opolskie)",2000
"151",67800,4,157507,"Diesel","(Dolnoœl¹skie)",1968
"152",51000,6,160300,"Diesel","(Œl¹skie)",1968
"153",31999,13,280645,"Diesel","(Œl¹skie)",1968
"154",62800,4,163744,"Diesel","(Dolnoœl¹skie)",1968
"155",129900,3,80850,"Benzyna","(£ódzkie)",1984
"156",74900,5,180400,"Diesel","(£ódzkie)",1968
"157",20999,15,301650,"Benzyna","(Wielkopolskie)",1781
"158",73900,5,159900,"Diesel","(Mazowieckie)",1968
"159",10000,16,223000,"Diesel","(Wielkopolskie)",2496
"160",37999,11,220400,"Diesel","(Opolskie)",1968
